"grid_size","phi","bandwidth","point_type","distance_type","true_cov","est_cov","difference","dist"
50,2,0.1,"Many","Closest",0.856227481364969,0.221605137712246,0.634622343652723,0.0165788695194932
50,2,0.1,"Many","Medium",0.722847680509837,0.0362535473284496,0.686594133181387,0.42603391492597
50,2,0.1,"Many","Farthest",1.19493385418444,-0.0414023602714621,1.2363362144559,0.802345972233788
50,2,0.1,"Few","Closest",0.964684643146812,0.0929041181290872,0.871780525017724,0.141527599704853
50,2,0.1,"Few","Medium",1.14288592131536,-0.110960628828747,1.2538465501441,0.628736293927274
50,2,0.1,"Few","Farthest",1.81223892473092,-0.113787765804814,1.92602669053574,1.10802590775945
50,2,0.1,"Border","Closest",0.84853759439423,0.0333401103218714,0.815197484072358,0.193515708147274
50,2,0.1,"Border","Medium",0.6483871687308,0.015464132373057,0.632923036357743,0.491091652124876
50,2,0.1,"Border","Farthest",0.990471184511793,0.129236413394071,0.861234771117722,1.0228107893252
50,2,0.2,"Many","Closest",0.856227481364969,0.18391624720743,0.672311234157539,0.0165788695194932
50,2,0.2,"Many","Medium",0.722847680509837,-0.0255448514414205,0.748392531951257,0.42603391492597
50,2,0.2,"Many","Farthest",1.19493385418444,-0.0256150851431256,1.22054893932756,0.802345972233788
50,2,0.2,"Few","Closest",0.964684643146812,0.0561313369881343,0.908553306158677,0.141527599704853
50,2,0.2,"Few","Medium",1.14288592131536,-0.0306463367038528,1.17353225801921,0.628736293927274
50,2,0.2,"Few","Farthest",1.81223892473092,-0.113787765804814,1.92602669053574,1.10802590775945
50,2,0.2,"Border","Closest",0.84853759439423,0.0193917854013864,0.829145808992843,0.193515708147274
50,2,0.2,"Border","Medium",0.6483871687308,0.000456869660709916,0.647930299070091,0.491091652124876
50,2,0.2,"Border","Farthest",0.990471184511793,0.129236413394071,0.861234771117722,1.0228107893252
50,2,0.3,"Many","Closest",0.856227481364969,0.134575429174428,0.721652052190541,0.0165788695194932
50,2,0.3,"Many","Medium",0.722847680509837,-0.0342468273230185,0.757094507832855,0.42603391492597
50,2,0.3,"Many","Farthest",1.19493385418444,-0.0515390841103752,1.24647293829481,0.802345972233788
50,2,0.3,"Few","Closest",0.964684643146812,0.10638650589429,0.858298137252522,0.141527599704853
50,2,0.3,"Few","Medium",1.14288592131536,-0.0482528457017136,1.19113876701707,0.628736293927274
50,2,0.3,"Few","Farthest",1.81223892473092,0.00438253452541544,1.80785639020551,1.10802590775945
50,2,0.3,"Border","Closest",0.84853759439423,0.0901161301227134,0.758421464271516,0.193515708147274
50,2,0.3,"Border","Medium",0.6483871687308,0.00132415342828413,0.647063015302516,0.491091652124876
50,2,0.3,"Border","Farthest",0.990471184511793,-0.0927851966234696,1.08325638113526,1.0228107893252
100,2,0.1,"Many","Closest",0.794194598536946,0.178469655786489,0.615724942750457,0.0515632240719454
100,2,0.1,"Many","Medium",0.713852803092721,0.0500309944378498,0.663821808654871,0.37353289821024
100,2,0.1,"Many","Farthest",1.02627740662255,-0.373186083555127,1.39946349017768,0.810187093472106
100,2,0.1,"Few","Closest",0.836154627020118,0.117569035026992,0.718585591993126,0.143846348317042
100,2,0.1,"Few","Medium",0.85411477367003,-0.049371434862723,0.903486208532753,0.561032334047641
100,2,0.1,"Few","Farthest",1.04489917264884,0.00377665099093008,1.04112252165791,1.0804796697007
100,2,0.1,"Border","Closest",0.705220528577072,0.140325029994909,0.564895498582164,0.0616287105939183
100,2,0.1,"Border","Medium",0.546084850074953,0.0156493836531143,0.530435466421839,0.659506914529313
100,2,0.1,"Border","Farthest",0.624929254487086,0.0983595269283315,0.526569727558755,1.18940721238296
100,2,0.2,"Many","Closest",0.794194598536946,0.157429618351756,0.63676498018519,0.0515632240719454
100,2,0.2,"Many","Medium",0.713852803092721,0.029132719852094,0.684720083240627,0.37353289821024
100,2,0.2,"Many","Farthest",1.02627740662255,-0.33128079625122,1.35755820287377,0.810187093472106
100,2,0.2,"Few","Closest",0.836154627020118,0.107966796701379,0.728187830318739,0.143846348317042
100,2,0.2,"Few","Medium",0.85411477367003,-0.0330192162928385,0.887133989962869,0.561032334047641
100,2,0.2,"Few","Farthest",1.04489917264884,0.033049457463959,1.01184971518488,1.0804796697007
100,2,0.2,"Border","Closest",0.705220528577072,0.160311152836505,0.544909375740567,0.0616287105939183
100,2,0.2,"Border","Medium",0.546084850074953,0.0361022215785879,0.509982628496365,0.659506914529313
100,2,0.2,"Border","Farthest",0.624929254487086,0.0416379629862322,0.583291291500854,1.18940721238296
100,2,0.3,"Many","Closest",0.794194598536946,0.137910879209309,0.656283719327637,0.0515632240719454
100,2,0.3,"Many","Medium",0.713852803092721,0.0389776948364243,0.674875108256297,0.37353289821024
100,2,0.3,"Many","Farthest",1.02627740662255,-0.286110633885826,1.31238804050838,0.810187093472106
100,2,0.3,"Few","Closest",0.836154627020118,0.120844095276985,0.715310531743133,0.143846348317042
100,2,0.3,"Few","Medium",0.85411477367003,-0.016348639677437,0.870463413347467,0.561032334047641
100,2,0.3,"Few","Farthest",1.04489917264884,0.0482933851485596,0.996605787500282,1.0804796697007
100,2,0.3,"Border","Closest",0.705220528577072,0.139543482176128,0.565677046400945,0.0616287105939183
100,2,0.3,"Border","Medium",0.546084850074953,0.0254372646585228,0.52064758541643,0.659506914529313
100,2,0.3,"Border","Farthest",0.624929254487086,0.0240366832659535,0.600892571221133,1.18940721238296
150,2,0.1,"Many","Closest",0.822853426004154,0.206017414312495,0.616836011691659,0.0425019561217476
