"grid_size","phi","bandwidth","spectral_norm"
50,2,0.1,36.9849722766138
50,2,0.2,36.963593017978
50,2,0.3,36.8943865267276
100,2,0.1,74.4612059114962
100,2,0.2,74.3271885002572
100,2,0.3,74.2226897056585
150,2,0.1,111.003099509717
150,2,0.2,110.998860402114
150,2,0.3,110.932819494371
