"","grid_size","phi","bandwidth","spectral_norm","frob_norm"
"1",30,2,0.1,21.847598573871,22.3009331797082
"2",30,2,0.2,21.9732781201889,22.2331145759883
"3",30,2,0.3,21.850188457561,22.059182761475
"4",50,2,0.1,36.3067586818587,37.0282726089577
"5",50,2,0.2,36.2507872840383,36.7551282257621
"6",50,2,0.3,36.189701757594,36.5876860445458
"7",70,2,0.1,51.2122789283398,51.616386989392
"8",70,2,0.2,51.1788152824812,51.5455169545086
"9",70,2,0.3,51.1403698345233,51.5017428133273
