"","grid_size","phi","bandwidth","point_type","distance_type","true_cov","est_cov","difference"
"1",30,2,0.1,"Many","Closest",0.733777373544591,0.119199691462416,0.614577682082175
"2",30,2,0.1,"Many","Medium",0.733777373544591,0.119199691462416,0.614577682082175
"3",30,2,0.1,"Many","Farthest",0.733777373544591,0.119199691462416,0.614577682082175
"4",30,2,0.1,"Many","Closest",0.588961267455185,-0.159052938992845,0.74801420644803
"5",30,2,0.1,"Many","Medium",0.588961267455185,-0.159052938992845,0.74801420644803
"6",30,2,0.1,"Many","Farthest",0.588961267455185,-0.159052938992845,0.74801420644803
"7",30,2,0.1,"Many","Closest",0.736928302207556,0.226960962909301,0.509967339298255
"8",30,2,0.1,"Many","Medium",0.736928302207556,0.226960962909301,0.509967339298255
"9",30,2,0.1,"Many","Farthest",0.736928302207556,0.226960962909301,0.509967339298255
"10",30,2,0.1,"Few","Closest",1.01527522059446,0.129840888411234,0.885434332183224
"11",30,2,0.1,"Few","Medium",1.01527522059446,0.129840888411234,0.885434332183224
"12",30,2,0.1,"Few","Farthest",1.01527522059446,0.129840888411234,0.885434332183224
"13",30,2,0.1,"Few","Closest",1.0195471327059,-0.188572921964422,1.20812005467033
"14",30,2,0.1,"Few","Medium",1.0195471327059,-0.188572921964422,1.20812005467033
"15",30,2,0.1,"Few","Farthest",1.0195471327059,-0.188572921964422,1.20812005467033
"16",30,2,0.1,"Few","Closest",0.999829108296475,0.226960962909301,0.772868145387174
"17",30,2,0.1,"Few","Medium",0.999829108296475,0.226960962909301,0.772868145387174
"18",30,2,0.1,"Few","Farthest",0.999829108296475,0.226960962909301,0.772868145387174
"19",30,2,0.1,"Border","Closest",0.611421993583059,0.146510630496182,0.464911363086877
"20",30,2,0.1,"Border","Medium",0.611421993583059,0.146510630496182,0.464911363086877
"21",30,2,0.1,"Border","Farthest",0.611421993583059,0.146510630496182,0.464911363086877
"22",30,2,0.1,"Border","Closest",0.372579835630821,0.39646169894242,0.0238818633115985
"23",30,2,0.1,"Border","Medium",0.372579835630821,0.39646169894242,0.0238818633115985
"24",30,2,0.1,"Border","Farthest",0.372579835630821,0.39646169894242,0.0238818633115985
"25",30,2,0.1,"Border","Closest",0.632368634199215,0.226960962909301,0.405407671289914
"26",30,2,0.1,"Border","Medium",0.632368634199215,0.226960962909301,0.405407671289914
"27",30,2,0.1,"Border","Farthest",0.632368634199215,0.226960962909301,0.405407671289914
"28",30,2,0.2,"Many","Closest",0.733777373544591,0.18416001524127,0.549617358303321
"29",30,2,0.2,"Many","Medium",0.733777373544591,0.18416001524127,0.549617358303321
"30",30,2,0.2,"Many","Farthest",0.733777373544591,0.18416001524127,0.549617358303321
"31",30,2,0.2,"Many","Closest",0.588961267455185,-0.0572465024242337,0.646207769879418
"32",30,2,0.2,"Many","Medium",0.588961267455185,-0.0572465024242337,0.646207769879418
"33",30,2,0.2,"Many","Farthest",0.588961267455185,-0.0572465024242337,0.646207769879418
"34",30,2,0.2,"Many","Closest",0.736928302207556,0.18410678094821,0.552821521259347
"35",30,2,0.2,"Many","Medium",0.736928302207556,0.18410678094821,0.552821521259347
"36",30,2,0.2,"Many","Farthest",0.736928302207556,0.18410678094821,0.552821521259347
"37",30,2,0.2,"Few","Closest",1.01527522059446,0.131498447667859,0.883776772926598
"38",30,2,0.2,"Few","Medium",1.01527522059446,0.131498447667859,0.883776772926598
"39",30,2,0.2,"Few","Farthest",1.01527522059446,0.131498447667859,0.883776772926598
"40",30,2,0.2,"Few","Closest",1.0195471327059,-0.268159772598801,1.28770690530471
"41",30,2,0.2,"Few","Medium",1.0195471327059,-0.268159772598801,1.28770690530471
"42",30,2,0.2,"Few","Farthest",1.0195471327059,-0.268159772598801,1.28770690530471
"43",30,2,0.2,"Few","Closest",0.999829108296475,0.18410678094821,0.815722327348265
"44",30,2,0.2,"Few","Medium",0.999829108296475,0.18410678094821,0.815722327348265
"45",30,2,0.2,"Few","Farthest",0.999829108296475,0.18410678094821,0.815722327348265
"46",30,2,0.2,"Border","Closest",0.611421993583059,0.192751892588138,0.41867010099492
"47",30,2,0.2,"Border","Medium",0.611421993583059,0.192751892588138,0.41867010099492
"48",30,2,0.2,"Border","Farthest",0.611421993583059,0.192751892588138,0.41867010099492
"49",30,2,0.2,"Border","Closest",0.372579835630821,0.0738909513072621,0.298688884323559
"50",30,2,0.2,"Border","Medium",0.372579835630821,0.0738909513072621,0.298688884323559
"51",30,2,0.2,"Border","Farthest",0.372579835630821,0.0738909513072621,0.298688884323559
"52",30,2,0.2,"Border","Closest",0.632368634199215,0.18410678094821,0.448261853251005
"53",30,2,0.2,"Border","Medium",0.632368634199215,0.18410678094821,0.448261853251005
"54",30,2,0.2,"Border","Farthest",0.632368634199215,0.18410678094821,0.448261853251005
"55",30,2,0.3,"Many","Closest",0.733777373544591,0.196841761021495,0.536935612523096
"56",30,2,0.3,"Many","Medium",0.733777373544591,0.196841761021495,0.536935612523096
"57",30,2,0.3,"Many","Farthest",0.733777373544591,0.196841761021495,0.536935612523096
"58",30,2,0.3,"Many","Closest",0.588961267455185,-0.0219003352449698,0.610861602700155
"59",30,2,0.3,"Many","Medium",0.588961267455185,-0.0219003352449698,0.610861602700155
"60",30,2,0.3,"Many","Farthest",0.588961267455185,-0.0219003352449698,0.610861602700155
"61",30,2,0.3,"Many","Closest",0.736928302207556,0.182999170735827,0.553929131471729
"62",30,2,0.3,"Many","Medium",0.736928302207556,0.182999170735827,0.553929131471729
"63",30,2,0.3,"Many","Farthest",0.736928302207556,0.182999170735827,0.553929131471729
