"grid_size","phi","bandwidth","spectral_norm"
50,1,0.1,29.2491015794793
50,1,0.2,29.2282425950103
50,1,0.3,29.0576357266424
100,1,0.1,54.9824778963045
100,1,0.2,54.8976886410284
100,1,0.3,54.7699482234335
150,1,0.1,81.2012377135841
150,1,0.2,81.0860151503189
150,1,0.3,80.8721294697753
