"grid_size","phi","bandwidth","spectral_norm"
50,2,0.1,36.4635518375553
50,2,0.2,36.4085276032569
50,2,0.3,36.4477582776394
100,2,0.1,91.2939713313746
100,2,0.2,88.8748354778017
100,2,0.3,85.4612616422053
150,2,0.1,109.913328384904
150,2,0.2,109.88969177598
150,2,0.3,109.816953718515
