"grid_size","phi","bandwidth","spectral_norm"
50,1,0.1,28.1736204804401
50,1,0.2,27.8595961741159
50,1,0.3,27.6635551317497
100,1,0.1,54.9773090661361
100,1,0.2,54.6909884721831
100,1,0.3,54.2324402384186
150,1,0.1,83.4897365182943
150,1,0.2,83.5132734066214
150,1,0.3,83.5402965348749
