"grid_size","phi","bandwidth","spectral_norm"
50,2,0.1,36.8100322917811
50,2,0.2,36.7075148989314
50,2,0.3,36.5774096840563
100,2,0.1,73.3403766113869
100,2,0.2,73.2556446937579
100,2,0.3,73.1525482106263
150,2,0.1,109.570075160587
150,2,0.2,109.531463573936
150,2,0.3,109.535642875073
