"grid_size","phi","bandwidth","spectral_norm"
50,2,0.1,36.3103924545595
50,2,0.2,36.2755166788262
50,2,0.3,36.1146976228035
100,2,0.1,74.1617958802288
100,2,0.2,74.1445150436759
100,2,0.3,74.158529416201
150,2,0.1,110.994729818719
150,2,0.2,110.954049009522
150,2,0.3,110.885765729889
