"grid_size","phi","bandwidth","spectral_norm"
50,1,0.1,28.0724228308989
50,1,0.2,27.8207113134672
50,1,0.3,27.6259532544519
100,1,0.1,55.0401041334189
100,1,0.2,54.9275344252147
100,1,0.3,54.8822077521582
150,1,0.1,82.9764680645734
150,1,0.2,82.9500770080247
150,1,0.3,82.8608372658097
