"grid_size","phi","bandwidth","point_type","distance_type","true_cov","est_cov","difference","dist"
50,1,0.1,"Many","Closest",1.00976044795698,0.617388172801532,0.392372275155453,0.0223845961856648
50,1,0.1,"Many","Medium",0.820580461342794,0.370261724036563,0.450318737306231,0.46809140709433
50,1,0.1,"Many","Farthest",0.657900394146608,0.00893026135196282,0.648970132794646,0.913011748506182
50,1,0.1,"Few","Closest",1.25400191105544,0.273325944907691,0.980675966147746,0.245428197318631
50,1,0.1,"Few","Medium",1.18531278470673,-1.48084456060501,2.66615734531173,0.728801642808296
50,1,0.1,"Few","Farthest",2.13074026395785,-0.488778530765986,2.61951879472384,1.00518714544803
50,1,0.1,"Border","Closest",1.14549847731485,0.747941715177666,0.397556762137185,0.15483380079387
50,1,0.1,"Border","Medium",0.750361837534986,0.142923396437095,0.607438441097892,0.609146711344899
50,1,0.1,"Border","Farthest",0.742141190521437,0.0222324665593001,0.719908723962137,1.15261190845708
50,1,0.2,"Many","Closest",1.00976044795698,0.737344543580776,0.272415904376209,0.0223845961856648
50,1,0.2,"Many","Medium",0.820580461342794,0.47740027398913,0.343180187353664,0.46809140709433
50,1,0.2,"Many","Farthest",0.657900394146608,0.0243435157640652,0.633556878382543,0.913011748506182
50,1,0.2,"Few","Closest",1.25400191105544,0.327512606219941,0.926489304835495,0.245428197318631
50,1,0.2,"Few","Medium",1.18531278470673,-1.44969909853073,2.63501188323746,0.728801642808296
50,1,0.2,"Few","Farthest",2.13074026395785,-0.488778530765986,2.61951879472384,1.00518714544803
50,1,0.2,"Border","Closest",1.14549847731485,0.577445380853546,0.568053096461305,0.15483380079387
50,1,0.2,"Border","Medium",0.750361837534986,0.215419924884646,0.53494191265034,0.609146711344899
50,1,0.2,"Border","Farthest",0.742141190521437,0.0112222399190941,0.730918950602343,1.15261190845708
50,1,0.3,"Many","Closest",1.00976044795698,0.673475052371619,0.336285395585365,0.0223845961856648
50,1,0.3,"Many","Medium",0.820580461342794,0.36630256125761,0.454277900085184,0.46809140709433
50,1,0.3,"Many","Farthest",0.657900394146608,0.0219916796771922,0.635908714469416,0.913011748506182
50,1,0.3,"Few","Closest",1.25400191105544,0.334592778412603,0.919409132642834,0.245428197318631
50,1,0.3,"Few","Medium",1.18531278470673,-1.37607195304136,2.56138473774808,0.728801642808296
50,1,0.3,"Few","Farthest",2.13074026395785,-0.488778530765986,2.61951879472384,1.00518714544803
50,1,0.3,"Border","Closest",1.14549847731485,0.556684700976559,0.588813776338293,0.15483380079387
50,1,0.3,"Border","Medium",0.750361837534986,0.250991301061108,0.499370536473878,0.609146711344899
50,1,0.3,"Border","Farthest",0.742141190521437,0.0242745435783614,0.717866646943076,1.15261190845708
100,1,0.1,"Many","Closest",0.968738780574414,0.407648997459077,0.561089783115337,0.0374952829019666
100,1,0.1,"Many","Medium",0.891536678002311,0.0978551414720907,0.79368153653022,0.537889492911646
100,1,0.1,"Many","Farthest",0.715564974727693,-0.124277592382214,0.839842567109907,1.09481683498063
100,1,0.1,"Few","Closest",1.13722303842827,0.275395869461357,0.861827168966913,0.127802752700719
100,1,0.1,"Few","Medium",1.2768826746088,-0.205676898101314,1.48255957271011,0.750224525783102
100,1,0.1,"Few","Farthest",1.36704779986896,-0.0712390641809528,1.43828686404991,1.17047887570583
100,1,0.1,"Border","Closest",1.02506375417213,0.403652574282714,0.621411179889418,0.0336111532808292
100,1,0.1,"Border","Medium",1.04016773697341,0.242993148896997,0.797174588076413,0.530928481107864
100,1,0.1,"Border","Farthest",0.281152563675857,0.0804534599949087,0.200699103680948,1.01446574944903
100,1,0.2,"Many","Closest",0.968738780574414,0.33286241910879,0.635876361465624,0.0374952829019666
100,1,0.2,"Many","Medium",0.891536678002311,0.0781844181399825,0.813352259862328,0.537889492911646
100,1,0.2,"Many","Farthest",0.715564974727693,-0.119345884666565,0.834910859394258,1.09481683498063
100,1,0.2,"Few","Closest",1.13722303842827,0.203924497977685,0.933298540450585,0.127802752700719
100,1,0.2,"Few","Medium",1.2768826746088,-0.125928412495805,1.4028110871046,0.750224525783102
100,1,0.2,"Few","Farthest",1.36704779986896,-0.130761463746577,1.49780926361554,1.17047887570583
100,1,0.2,"Border","Closest",1.02506375417213,0.333789206961378,0.691274547210754,0.0336111532808292
100,1,0.2,"Border","Medium",1.04016773697341,0.273775738138148,0.766391998835263,0.530928481107864
100,1,0.2,"Border","Farthest",0.281152563675857,-0.0204753008695697,0.301627864545426,1.01446574944903
100,1,0.3,"Many","Closest",0.968738780574414,0.258704457218596,0.710034323355818,0.0374952829019666
100,1,0.3,"Many","Medium",0.891536678002311,0.079619388886706,0.811917289115605,0.537889492911646
100,1,0.3,"Many","Farthest",0.715564974727693,-0.126724366615525,0.842289341343217,1.09481683498063
100,1,0.3,"Few","Closest",1.13722303842827,0.20670416043485,0.93051887799342,0.127802752700719
100,1,0.3,"Few","Medium",1.2768826746088,-0.160444968361336,1.43732764297013,0.750224525783102
100,1,0.3,"Few","Farthest",1.36704779986896,-0.100582298488444,1.4676300983574,1.17047887570583
100,1,0.3,"Border","Closest",1.02506375417213,0.265497275537252,0.75956647863488,0.0336111532808292
100,1,0.3,"Border","Medium",1.04016773697341,0.198969954925638,0.841197782047773,0.530928481107864
100,1,0.3,"Border","Farthest",0.281152563675857,-0.0952885220373669,0.376441085713223,1.01446574944903
150,1,0.1,"Many","Closest",1.03034816439994,0.256488744938935,0.773859419461003,0.0307972071690272
150,1,0.1,"Many","Medium",1.53016253474709,-0.101319830219749,1.63148236496684,0.422978795152656
