"grid_size","phi","bandwidth","spectral_norm"
50,1,0.1,29.7266475001335
50,1,0.2,29.2933608599255
50,1,0.3,28.7108859169033
100,1,0.1,55.3225042881174
100,1,0.2,55.0256208541072
100,1,0.3,54.7285781860436
150,1,0.1,81.5265614941617
150,1,0.2,81.431062200055
150,1,0.3,81.2941582347799
